CASEID,EVRMARRY,ONOWN,ONOWN18,PARMARR,INTACT18,MOMFSTCH,EVERSEX,GRFSTSX,SEDBC,PTSB4MAR,USEFSTSX,MTHFSTSX1,RELRAISD,ATTND14,AGER,HIEDUC,RACE,MAR1CON1,B1PREMAR,VRY1STAG,LIFPRTNR,SEX1MTHD1,RELIGION,LABORFOR,TOTINCR,topics_discussed_count,discuss_topic1,discuss_topic2,discuss_topic3,discuss_topic4,discuss_topic5,discuss_topic6,discuss_topic8,premarital
80725,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,Yes,10th grade,Yes,,YES,Condom,Catholic,More than once a week,23 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,16,4 PARTNERS,Condom,PROTESTANT,Working full-time,"$50,000-$59,999",5,1,1,1,1,0,0,1,1
80726,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,Yes,10th grade,Yes,,YES,Condom,Catholic,Once a week,16 YEARS,11TH GRADE,WHITE,,,15,1 PARTNER,Condom,CATHOLIC,Working part-time,"$40,000-$49,999",2,1,1,0,0,0,0,0,1
80730,NEVER MARRIED,No,No,Yes,Yes,30 OR OLDER,No,,Yes,,,,"Methodist, Lutheran, Presbyterian, Episcopal",Once a week,21 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,NO RELIGION,Working part-time,"$100,000 or more",2,1,0,0,0,0,0,1,0
80733,NEVER MARRIED,Yes,Yes,No,No,LESS THAN 18 YEARS,,,Yes,,YES,Condom,Baptist/Southern Baptist,More than once a week,24 YEARS,SOME COLLEGE BUT NO DEGREE,BLACK,"Has been pregnant, but has never been married",,18,10,Condom,PROTESTANT,Working full-time,"$25,000-$29,999",7,1,1,1,1,1,1,1,
80750,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,No,,Yes,,,,Catholic,Never,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,CATHOLIC,In school,"$100,000 or more",1,0,1,0,0,0,0,0,0
80752,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,No,,Yes,,,,No religion,Never,17 YEARS,10TH GRADE,WHITE,,,,NONE,,NO RELIGION,In school,"$40,000-$49,999",2,0,0,0,1,0,0,1,0
80754,NEVER MARRIED,No,No,Yes,No,30 OR OLDER,No,,No,,,,Catholic,3-11 times a year,16 YEARS,11TH GRADE,WHITE,,,,NONE,,NO RELIGION,Working full-time,"$25,000-$29,999",1,0,1,0,0,0,0,0,0
80761,NEVER MARRIED,No,No,Yes,Yes,LESS THAN 18 YEARS,No,,Yes,,,,Protestant - No specific denomination,Never,15 YEARS,9TH GRADE OR LESS,BLACK,,,,NONE,,PROTESTANT,In school,$7500-$9999,4,1,1,0,1,0,0,1,0
80768,NEVER MARRIED,No,No,No,No,30 OR OLDER,,,No,,,,Fundamentalist Protestant,Once a week,22 YEARS,9TH GRADE OR LESS,BLACK,"Has been pregnant, but has never been married",YES,20,1 PARTNER,Never used a method,PROTESTANT,Keeping house,"$25,000-$29,999",3,1,0,0,0,1,0,1,
80779,NEVER MARRIED,No,No,No,Yes,20-24 YEARS,No,,Yes,,,,Catholic,Once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,CATHOLIC,In school,"$50,000-$59,999",2,1,0,0,0,1,0,0,0
80791,NEVER MARRIED,Yes,Yes,Yes,Yes,LESS THAN 18 YEARS,,9th grade,Yes,,NO,,Catholic,2-3 times a month,23 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),BLACK,"Has been pregnant, but has never been married",YES,15,1 PARTNER,Did not use a method at 1st intercourse,CATHOLIC,Keeping house,"$12,500-$14,999",2,0,0,0,1,0,0,1,
80796,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,Yes,,,,"Methodist, Lutheran, Presbyterian, Episcopal",Once a week,16 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,NO RELIGION,In school,"$100,000 or more",4,1,1,0,1,0,0,1,0
80797,NEVER MARRIED,No,No,No,Yes,20-24 YEARS,,,Yes,,YES,Condom,Catholic,3-11 times a year,23 YEARS,BACHELOR'S DEGREE,OTHER,,,18,4 PARTNERS,Condom,NO RELIGION,Working full-time,"$60,000-$74,999",0,0,0,0,0,0,0,0,
80800,NEVER MARRIED,No,No,No,No,20-24 YEARS,No,,Yes,,,,Other religion,Never,18 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,,,,NONE,,NO RELIGION,Working full-time,"$75,000-$99,999",1,0,1,0,0,0,0,0,0
80802,EVER MARRIED,Yes,Yes,Yes,No,,,8th grade,Yes,10,YES,Birth control pills,Protestant - No specific denomination,Once a week,24 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,First conception before marriage,YES,14,10,Pill,PROTESTANT,Working full-time,"$60,000-$74,999",1,0,0,0,0,0,1,0,1
80805,NEVER MARRIED,No,No,No,Yes,25-29 YEARS,Yes,,,,NO,,Baptist/Southern Baptist,,25 YEARS,BACHELOR'S DEGREE,BLACK,,,23,2 PARTNERS,Did not use a method at 1st intercourse,PROTESTANT,Working full-time,"$60,000-$74,999",0,0,0,0,0,0,0,0,1
